10;1;26;0;2;3;3;10.5;10.5;10.03;79;3;0;0;0;0;0;0;0;0;;4;10.53;10.53;3;;0;4;0;0;0;3;0;0;4;0;0;0;;Bonus;58;15;0;10.53;;3;0;0;1;0;1;0;0;0;0;1;0;0.1083333;0.2068782
8;0;25;1;4;3;3;11.5;11.5;10.67;81;2;0;0;0;0;4;3;3;3;;4;10.67;10.67;4;;0;4;0;0;0;3;0;1;2;0;0;0;;Bonus;56;15;0;10.67;;2;0;13;0;0;1;0;0;0;1;0;0;0.1083333;0.2068782
15;0;28;0;4;3;3;20;20;19.79;97;1;0;5;5;4;9;5;5;4;;6;11.79;19.79;7;;0;4;0;0;0;4;0;0;6;0;0;0;;Bonus;63;15;1;11.79;;1;14;23;-1;0;1;0;0;1;0;0;0;0.1083333;0.2068782
20;0;36;0;2;3;4;9.5;9.5;9.41;63;4;10;5;5;0;7;4;4;3;;5;9.41;9.41;3;;3;2;0;0;1;4;6;0;5;2;0;0;;Bonus;68;16;1;9.41;;4;20;18;2;0;1;0;0;0;0;0;1;0.1621129;0.2266566
3;0;27;1;4;3;4;12;12;11.02;86;3;0;0;0;0;10;0;0;0;;3;11.02;11.02;3;;2;2;4;4;6;4;5;6;1;2;2;0;;Bonus;51;16;0;11.02;;3;0;10;0;0;1;0;0;0;0;1;0;0.1621129;0.2266566
1;0;24;0;6;3;4;12.5;12.5;11.93;99;2;0;0;0;0;0;0;0;0;;5;11.93;11.93;5;;0;1;0;0;1;1;0;1;2;0;0;0;;Bonus;49;16;0;11.93;;2;0;0;0;0;1;0;0;0;1;0;0;0.1621129;0.2266566
2;0;19;1;4;3;4;21.5;21.5;20.76;118;1;0;0;0;0;5;0;0;0;;5;13.26;21.26;7;;0;4;0;0;0;6;0;0;6;2;3;0;;Bonus;50;16;0;13.26;;1;0;5;-2;0;1;0;0;1;0;0;0;0.1621129;0.2266566
17;1;21;1;3;3;5;11;11;10.81;83;4;10;0;0;0;10;0;0;0;;4;10.81;10.81;3;;4;0;1;1;5;1;3;0;0;1;0;0;;Bonus;65;17;1;10.81;;4;10;10;1;0;1;0;0;0;0;0;1;0.1513688;0.2173862
12;1;26;0;4;3;5;11.5;11.5;11.23;89;3;3;2;0;2;3;2;3;2;;3;11.23;11.23;2;;0;4;0;0;2;0;0;0;0;0;0;0;;Bonus;60;17;1;11.23;;3;7;10;1;0;1;0;0;0;0;1;0;0.1513688;0.2173862
7;0;23;1;8;3;5;11.5;11.5;11.5;100;2;0;0;0;0;0;0;0;0;;5;12;12;4;;2;5;0;0;1;4;0;1;4;2;0;0;;Bonus;55;17;0;12;;2;0;0;1;0;1;0;0;0;1;0;0;0.1513688;0.2173862
11;0;27;1;1;3;5;23;23;22.94;142;1;0;6;5;5;9;4;4;5;;6;14.94;22.94;6;;1;1;1;2;1;6;1;1;6;3;2;0;;Bonus;59;17;1;14.94;;1;16;22;0;0;1;0;0;1;0;0;0;0.1513688;0.2173862
21;1;27;0;8;4;1;8.5;8.5;8.47;71;4;10;5;5;0;10;5;5;4;1;6;9.97;9.97;5;0.666667;1;0;0;0;1;1;0;0;1;4;0;0;;Bonus & Cheating;93;19;1;9.97;8.47;4;20;24;1;0;0;1;0;0;0;0;1;0.0797546;0.1955985
4;0;26;1;6;4;1;10.5;10.5;9.66;73;3;0;0;0;0;0;0;0;0;1;7;11.16;11.16;7;1;0;3;0;0;0;4;0;0;3;0;0;0;;Bonus & Cheating;76;19;0;10.11;9.66;3;0;0;0;0;0;1;0;0;0;1;0;0.0797546;0.1955985
15;1;26;0;1;4;1;11;11;10.87;91;2;0;0;0;0;6;3;2;1;0;1;11.37;11.37;3;0.333333;4;6;0;0;3;0;0;0;0;0;0;0;;Bonus & Cheating;87;19;0;11.37;11.37;1;0;12;-2;0;0;1;0;0;1;0;0;0.0797546;0.1955985
5;1;24;0;2;4;1;19.5;19.5;18.71;91;1;0;0;0;0;0;0;0;0;1;7;12.21;20.21;7;1;0;6;0;0;0;6;0;0;6;0;0;0;;Bonus & Cheating;77;19;0;11.37;18.71;2;0;0;0;0;0;1;0;1;0;0;0;0.0797546;0.1955985
16;1;20;1;2;4;2;12;12;10.01;79;4;0;0;0;0;0;0;0;0;1;5;11.51;11.51;5;1;1;2;0;0;1;0;0;3;0;1;0;0;;Bonus & Cheating;88;20;0;10.53;10.01;4;0;0;0;0;0;1;0;0;0;0;1;0.0915556;0.1651769
11;0;30;0;6;4;2;10.5;10.5;10.21;90;3;0;0;0;0;4;2;2;2;1;5;12.21;12.21;5;0.666667;5;6;2;1;1;1;1;3;1;0;0;0;;Bonus & Cheating;83;20;0;11.3;10.71;3;0;10;0;0;0;1;0;0;0;1;0;0.0915556;0.1651769
17;0;24;1;6;4;2;11.5;11.5;10.99;94;2;10;0;0;0;7;1;1;0;1;4;12.49;12.49;5;1;1;4;0;1;5;4;6;0;5;0;0;0;;Bonus & Cheating;89;20;1;11.58;10.99;2;10;9;-1;0;0;1;0;0;1;0;0;0.0915556;0.1651769
20;1;30;1;11;4;2;22.5;22.5;20.84;112;1;0;0;0;0;4;0;0;0;0;3;12.84;20.84;3;0.333333;0;7;0;0;0;6;0;0;6;1;3;0;;Bonus & Cheating;92;20;0;12.84;20.84;1;0;4;0;0;0;1;0;1;0;0;0;0.0915556;0.1651769
7;0;20;1;2;4;3;11.5;11.5;9.97;71;4;0;0;0;0;0;0;0;0;0;5;9.97;9.97;5;0.666667;2;5;0;0;2;0;0;0;0;1;0;0;;Bonus & Cheating;79;21;0;9.97;9.97;4;0;0;0;0;0;1;0;0;0;0;1;0.0795569;0.2064772
