11;8;4;0;150;0;0;30;1;3;0;0;7;3;1;0;1;;4;0;30;27;11;1.386294;20;1;8;PDSH3010;1;0;1240;;;0;0;1;0;1;0.5;;1;1
11;9;1;10;110;0;0;30;1;3;0;0;7;3;1;0;0;;2;0;10;27;11;0.6931472;20;1;9;PDSH3010;1;0;1280;;;1;0;0;0;0;0.0384615;;1;0
11;10;5;10;120;0;0;30;1;3;0;0;7;3;1;0;0;;2;0;10;27;11;0.6931472;20;1;10;PDSH3010;1;0;1370;;;1;0;0;0;0;0.0384615;;1;1
12;1;5;10;100;0;0;30;1;3;0;0;8;3;1;0;0;;1;0;10;27;12;0;20;1;1;PDSH3010;1;0;1180;;;1;0;0;0;0;0.2692308;;1;1
12;2;5;10;120;0;0;30;1;3;0;0;8;3;1;0;0;;4;0;10;27;12;1.386294;20;1;2;PDSH3010;1;0;1220;;;1;0;0;0;0;0.0384615;;1;1
12;3;4;10;180;0;0;30;1;3;0;0;8;3;1;0;0;;2;0;10;27;12;0.6931472;20;1;3;PDSH3010;1;0;1350;;;1;0;0;0;0;0.0769231;;0;0
12;4;2;10;220;0;0;30;1;3;0;0;8;3;1;0;0;;3;0;10;27;12;1.098612;20;1;4;PDSH3010;1;0;1460;;;1;0;0;0;0;0;;0;1
12;5;3;0;190;0;0;30;1;3;0;0;8;3;1;0;1;;11;0;30;27;12;2.397895;20;1;5;PDSH3010;1;0;1190;;;0;0;1;0;1;0.2307692;;0;1
12;6;1;10;160;0;0;30;1;3;0;0;8;3;1;0;0;;5;0;10;27;12;1.609438;20;1;6;PDSH3010;1;0;1300;;;1;0;0;0;0;0.1153846;;1;1
12;7;3;30;140;0;0;30;1;3;0;0;8;3;1;0;0;;3;1;0;27;12;1.098612;20;1;7;PDSH3010;1;0;1240;;;0;0;0;0;0;0.0384615;;1;1
12;8;4;10;160;0;0;30;1;3;0;0;8;3;1;0;0;;3;0;10;27;12;1.098612;20;1;8;PDSH3010;1;0;1240;;;1;0;1;1;0;0.5;;1;1
12;9;1;10;120;0;0;30;1;3;0;0;8;3;1;0;0;;2;0;10;27;12;0.6931472;20;1;9;PDSH3010;1;0;1280;;;1;0;0;0;0;0.0384615;;1;0
